"TERM_RSLVR_PARM_SPEC_ID","TERM_RSLVR_ID","NM","VER_NBR"
"KC1000","KC1001","Question ID",1
"KC1001","KC1001","Questionnaire Ref ID",1
"KC1002","KC1002","Question ID",1
"KC1003","KC1002","Questionnaire Ref ID",1
"KC1004","KC1003","Question ID",1
"KC1005","KC1003","Questionnaire Ref ID",1
"KC1006","KC1004","Question ID",1
"KC1007","KC1004","Questionnaire Ref ID",1
"KC1008","KC1005","Question ID",1
"KC1009","KC1005","Questionnaire Ref ID",1
"KC2000","KC2000","GrantsGov Form Name",1
"KC2001","KC2001","Lead Unit Number",1
"KC2002","KC2002","Sponsor Code",1
"KC2003","KC2003","Award Type Code",1
"KC2005","KC2005","Principal ID",1
"KC2006","KC2006","Principal ID",1
"KC2007","KC2007","Unit Number",1
"KC2008","KC2008","Special Review Type Code",1
"KC2009","KC2009","Unit Number",1
"KC2010","KC2010","Sponsor Type Code",1
"KC2016","KC2016","Cost Element",1
"KC2017","KC2017","Activity Type Code",1
"KC2018","KC2018","Sponsor Code",1
"KC2021","KC2021","Version Number",1
"KC2022","KC2022","Proposal Type Code",1
"KC2023","KC2025","S2s forms",1
"KC2024","KC2026","Sponsored hirearchies (comma delimited)",1
"KC2025","KC2027","Narrative Type (comma delimited)",1
"KC2026","KC2027","Max Number",1
"KC2027","KC2028","Grants.Gov Form Name",1
"KC2028","KC2036","Narrative Type Code",1
"KC2029","KC2037","Budget Version",1
"KC2030","KC2037","Cost Element",1
"KC2031","KC2037","Cost Limit",1
"KC2032","KC2038","Fellowship Codes",1
"KC2033","KC2040","Person Id",1
"KC2034","KC2041","Unit Number",1
"KC2035","KC2042","RR Form names",1
"KC2036","KC2042","Phs Form names",1
"KC2037","KC2043","Phs Cover Letter forms",1
"KC2038","KC2043","Narrative Type Code",1
"KC2039","KC2044","Budget Version Number",1
"KC2040","KC2044","Cost Element",1
"KC2043","KC2048","Unit number",1
"KC2044","KC2049","Organization Id",1
"KC2045","KC2050","Sponsor Code",1
"KC2046","KC2051","Unit number",1
"KC2047","KC2052","Area of research code",1
"KC2048","KC2053","User Id",1
"KC2049","KC2054","Campus code",1
"KC2050","KC2055","Document type code",1
"KC2051","KC2056","Submission type code",1
"KC2052","KC2057","Submission number",1
"KC2053","KC2057","Submission qualifier type code",1
"KC2054","KC2058","Submission number",1
"KC2055","KC2058","Submission type code",1
"KC2056","KC2068","Unit number",1
"KC2057","KC2069","Organization Id",1
"KC2058","KC2070","Sponsor Code",1
"KC2059","KC2071","Unit number",1
"KC2060","KC2072","Area of research code",1
"KC2061","KC2073","User Id",1
"KC2062","KC2074","Campus code",1
"KC2063","KC2075","Document type code",1
"KC2064","KC2076","Submission type code",1
"KC2065","KC2077","Submission number",1
"KC2066","KC2077","Submission qualifier type code",1
"KC2067","KC2078","Submission number",1
"KC2068","KC2078","Submission type code",1
"KC2069","KC2085","Subject Type Code",1
